nucleus, energy[keV], readout, sigma_E/E=  helium 1 pix 0.3397779639868119
nucleus, energy[keV], readout, sigma_E/E=  helium 3 pix 0.16680019238046168
nucleus, energy[keV], readout, sigma_E/E=  helium 5 pix 0.12619829422272502
nucleus, energy[keV], readout, sigma_E/E=  helium 7 pix 0.10012653753230556
nucleus, energy[keV], readout, sigma_E/E=  helium 9 pix 0.08334860682684486
nucleus, energy[keV], readout, sigma_E/E=  helium 11 pix 0.07071524917346124
nucleus, energy[keV], readout, sigma_E/E=  helium 13 pix 0.0630279866106998
nucleus, energy[keV], readout, sigma_E/E=  helium 15 pix 0.05859101226071164
nucleus, energy[keV], readout, sigma_E/E=  helium 17 pix 0.05880929989235444
nucleus, energy[keV], readout, sigma_E/E=  helium 19 pix 0.05081235764093579
nucleus, energy[keV], readout, sigma_E/E=  helium 21 pix 0.04658151290577859
nucleus, energy[keV], readout, sigma_E/E=  helium 23 pix 0.04437850840656718
nucleus, energy[keV], readout, sigma_E/E=  helium 25 pix 0.05430378765373292
nucleus, energy[keV], readout, sigma_E/E=  helium 27 pix 0.04360823837305379
nucleus, energy[keV], readout, sigma_E/E=  helium 29 pix 0.042520148505601256
nucleus, energy[keV], readout, sigma_E/E=  helium 31 pix 0.04393547385065163
nucleus, energy[keV], readout, sigma_E/E=  helium 33 pix 0.036603223771027704
nucleus, energy[keV], readout, sigma_E/E=  helium 35 pix 0.03417120361465078
nucleus, energy[keV], readout, sigma_E/E=  helium 37 pix 0.03603919254050331
nucleus, energy[keV], readout, sigma_E/E=  helium 39 pix 0.03445265899368645
nucleus, energy[keV], readout, sigma_E/E=  helium 41 pix 0.034301591813042064
nucleus, energy[keV], readout, sigma_E/E=  helium 43 pix 0.033027309429159796
nucleus, energy[keV], readout, sigma_E/E=  helium 45 pix 0.030268544081681486
nucleus, energy[keV], readout, sigma_E/E=  helium 47 pix 0.039454300879250524
nucleus, energy[keV], readout, sigma_E/E=  helium 49 pix 0.034897514159839674
nucleus, energy[keV], readout, sigma_E/E=  helium 1 pad 0.4043122754272255
nucleus, energy[keV], readout, sigma_E/E=  helium 3 pad 0.18312734583773563
nucleus, energy[keV], readout, sigma_E/E=  helium 5 pad 0.13638573905284274
nucleus, energy[keV], readout, sigma_E/E=  helium 7 pad 0.10671405550932506
nucleus, energy[keV], readout, sigma_E/E=  helium 9 pad 0.08666063843421239
nucleus, energy[keV], readout, sigma_E/E=  helium 11 pad 0.07406030874855057
nucleus, energy[keV], readout, sigma_E/E=  helium 13 pad 0.06536525632016116
nucleus, energy[keV], readout, sigma_E/E=  helium 15 pad 0.06110362416909818
nucleus, energy[keV], readout, sigma_E/E=  helium 17 pad 0.06013194010854775
nucleus, energy[keV], readout, sigma_E/E=  helium 19 pad 0.05213693312090455
nucleus, energy[keV], readout, sigma_E/E=  helium 21 pad 0.047758108450403756
nucleus, energy[keV], readout, sigma_E/E=  helium 23 pad 0.04544819131053611
nucleus, energy[keV], readout, sigma_E/E=  helium 25 pad 0.05500213976491117
nucleus, energy[keV], readout, sigma_E/E=  helium 27 pad 0.04457129178530442
nucleus, energy[keV], readout, sigma_E/E=  helium 29 pad 0.04345230998019838
nucleus, energy[keV], readout, sigma_E/E=  helium 31 pad 0.0444435765652387
nucleus, energy[keV], readout, sigma_E/E=  helium 33 pad 0.03722772642092488
nucleus, energy[keV], readout, sigma_E/E=  helium 35 pad 0.03448167745555635
nucleus, energy[keV], readout, sigma_E/E=  helium 37 pad 0.036140958154100664
nucleus, energy[keV], readout, sigma_E/E=  helium 39 pad 0.03471087416264329
nucleus, energy[keV], readout, sigma_E/E=  helium 41 pad 0.034797173639937506
nucleus, energy[keV], readout, sigma_E/E=  helium 43 pad 0.03313748326017518
nucleus, energy[keV], readout, sigma_E/E=  helium 45 pad 0.030275340668414846
nucleus, energy[keV], readout, sigma_E/E=  helium 47 pad 0.03951676533936438
nucleus, energy[keV], readout, sigma_E/E=  helium 49 pad 0.03523282586282971
nucleus, energy[keV], readout, sigma_E/E=  helium 1 wir 0.46842885561820086
nucleus, energy[keV], readout, sigma_E/E=  helium 3 wir 0.20072496737093004
nucleus, energy[keV], readout, sigma_E/E=  helium 5 wir 0.1484122336451154
nucleus, energy[keV], readout, sigma_E/E=  helium 7 wir 0.11376722699797753
nucleus, energy[keV], readout, sigma_E/E=  helium 9 wir 0.09100992210382296
nucleus, energy[keV], readout, sigma_E/E=  helium 11 wir 0.07716187437599333
nucleus, energy[keV], readout, sigma_E/E=  helium 13 wir 0.0679174730372851
nucleus, energy[keV], readout, sigma_E/E=  helium 15 wir 0.06296594039561357
nucleus, energy[keV], readout, sigma_E/E=  helium 17 wir 0.06186278132640153
nucleus, energy[keV], readout, sigma_E/E=  helium 19 wir 0.05328808299272735
nucleus, energy[keV], readout, sigma_E/E=  helium 21 wir 0.048756985755259885
nucleus, energy[keV], readout, sigma_E/E=  helium 23 wir 0.04627598214027331
nucleus, energy[keV], readout, sigma_E/E=  helium 25 wir 0.056002628384122836
nucleus, energy[keV], readout, sigma_E/E=  helium 27 wir 0.04520330103987116
nucleus, energy[keV], readout, sigma_E/E=  helium 29 wir 0.04381531035612251
nucleus, energy[keV], readout, sigma_E/E=  helium 31 wir 0.04469893129211362
nucleus, energy[keV], readout, sigma_E/E=  helium 33 wir 0.03775803074961143
nucleus, energy[keV], readout, sigma_E/E=  helium 35 wir 0.0351776966336243
nucleus, energy[keV], readout, sigma_E/E=  helium 37 wir 0.03689013729097592
nucleus, energy[keV], readout, sigma_E/E=  helium 39 wir 0.03498045961422478
nucleus, energy[keV], readout, sigma_E/E=  helium 41 wir 0.03536363881173557
nucleus, energy[keV], readout, sigma_E/E=  helium 43 wir 0.03306892813472911
nucleus, energy[keV], readout, sigma_E/E=  helium 45 wir 0.030578045601792902
nucleus, energy[keV], readout, sigma_E/E=  helium 47 wir 0.040044155151393694
nucleus, energy[keV], readout, sigma_E/E=  helium 49 wir 0.03572810695453762
nucleus, energy[keV], readout, sigma_E/E=  helium 1 gem 2.8553446610830244
nucleus, energy[keV], readout, sigma_E/E=  helium 3 gem 1.1791671539689041
nucleus, energy[keV], readout, sigma_E/E=  helium 5 gem 0.6934076049955493
nucleus, energy[keV], readout, sigma_E/E=  helium 7 gem 0.46165973959094
nucleus, energy[keV], readout, sigma_E/E=  helium 9 gem 0.32547649321232025
nucleus, energy[keV], readout, sigma_E/E=  helium 11 gem 0.2470957589640156
nucleus, energy[keV], readout, sigma_E/E=  helium 13 gem 0.19063874178361936
nucleus, energy[keV], readout, sigma_E/E=  helium 15 gem 0.17139417923626385
nucleus, energy[keV], readout, sigma_E/E=  helium 17 gem 0.15260858693713608
nucleus, energy[keV], readout, sigma_E/E=  helium 19 gem 0.12050061047919723
nucleus, energy[keV], readout, sigma_E/E=  helium 21 gem 0.10878226826498893
nucleus, energy[keV], readout, sigma_E/E=  helium 23 gem 0.10024548898521844
nucleus, energy[keV], readout, sigma_E/E=  helium 25 gem 0.09719314332634023
nucleus, energy[keV], readout, sigma_E/E=  helium 27 gem 0.08971775729078692
nucleus, energy[keV], readout, sigma_E/E=  helium 29 gem 0.07927987410089309
nucleus, energy[keV], readout, sigma_E/E=  helium 31 gem 0.07537740007287196
nucleus, energy[keV], readout, sigma_E/E=  helium 33 gem 0.07036099504983623
nucleus, energy[keV], readout, sigma_E/E=  helium 35 gem 0.0648887031211558
nucleus, energy[keV], readout, sigma_E/E=  helium 37 gem 0.06617833632752332
nucleus, energy[keV], readout, sigma_E/E=  helium 39 gem 0.06002320501434134
nucleus, energy[keV], readout, sigma_E/E=  helium 41 gem 0.06016071737820429
nucleus, energy[keV], readout, sigma_E/E=  helium 43 gem 0.05713761103759034
nucleus, energy[keV], readout, sigma_E/E=  helium 45 gem 0.05168028734299337
nucleus, energy[keV], readout, sigma_E/E=  helium 47 gem 0.05828854081799732
nucleus, energy[keV], readout, sigma_E/E=  helium 49 gem 0.0557808682688132
nucleus, energy[keV], readout, sigma_E/E=  helium 1 str 1.0562580610651617
nucleus, energy[keV], readout, sigma_E/E=  helium 3 str 0.4831544701428165
nucleus, energy[keV], readout, sigma_E/E=  helium 5 str 0.41810682820256106
nucleus, energy[keV], readout, sigma_E/E=  helium 7 str 0.3714047113833792
nucleus, energy[keV], readout, sigma_E/E=  helium 9 str 0.3228357109111154
nucleus, energy[keV], readout, sigma_E/E=  helium 11 str 0.29713417036815065
nucleus, energy[keV], readout, sigma_E/E=  helium 13 str 0.27246133867505035
nucleus, energy[keV], readout, sigma_E/E=  helium 15 str 0.26297313660196475
nucleus, energy[keV], readout, sigma_E/E=  helium 17 str 0.2555070449765386
nucleus, energy[keV], readout, sigma_E/E=  helium 19 str 0.22710280120824572
nucleus, energy[keV], readout, sigma_E/E=  helium 21 str 0.21971955041439556
nucleus, energy[keV], readout, sigma_E/E=  helium 23 str 0.21404350342768516
nucleus, energy[keV], readout, sigma_E/E=  helium 25 str 0.20007517659867008
nucleus, energy[keV], readout, sigma_E/E=  helium 27 str 0.19534059924952565
nucleus, energy[keV], readout, sigma_E/E=  helium 29 str 0.18702013006507012
nucleus, energy[keV], readout, sigma_E/E=  helium 31 str 0.17564539211385174
nucleus, energy[keV], readout, sigma_E/E=  helium 33 str 0.17107088023803277
nucleus, energy[keV], readout, sigma_E/E=  helium 35 str 0.1665893843360132
nucleus, energy[keV], readout, sigma_E/E=  helium 37 str 0.16595799023697405
nucleus, energy[keV], readout, sigma_E/E=  helium 39 str 0.15293979128805138
nucleus, energy[keV], readout, sigma_E/E=  helium 41 str 0.15153615444552668
nucleus, energy[keV], readout, sigma_E/E=  helium 43 str 0.1487965579345842
nucleus, energy[keV], readout, sigma_E/E=  helium 45 str 0.1376175591559474
nucleus, energy[keV], readout, sigma_E/E=  helium 47 str 0.14268475469248737
nucleus, energy[keV], readout, sigma_E/E=  helium 49 str 0.13996922166910947
nucleus, energy[keV], readout, sigma_E/E=  helium 1 opt 1.0975741799711988e-08
nucleus, energy[keV], readout, sigma_E/E=  helium 3 opt 2.5556611401256992
nucleus, energy[keV], readout, sigma_E/E=  helium 5 opt 3.0146766389886825
nucleus, energy[keV], readout, sigma_E/E=  helium 7 opt 2.9681977955165446
nucleus, energy[keV], readout, sigma_E/E=  helium 9 opt 2.7697392812905743
nucleus, energy[keV], readout, sigma_E/E=  helium 11 opt 2.6556330153205425
nucleus, energy[keV], readout, sigma_E/E=  helium 13 opt 2.3829643171203703
nucleus, energy[keV], readout, sigma_E/E=  helium 15 opt 2.2581520926237717
nucleus, energy[keV], readout, sigma_E/E=  helium 17 opt 2.0812731698075386
nucleus, energy[keV], readout, sigma_E/E=  helium 19 opt 1.9499868460322298
nucleus, energy[keV], readout, sigma_E/E=  helium 21 opt 1.8776357040755616
nucleus, energy[keV], readout, sigma_E/E=  helium 23 opt 1.7801724586271004
nucleus, energy[keV], readout, sigma_E/E=  helium 25 opt 1.679716508884126
nucleus, energy[keV], readout, sigma_E/E=  helium 27 opt 1.7040873879818883
nucleus, energy[keV], readout, sigma_E/E=  helium 29 opt 1.589531152946367
nucleus, energy[keV], readout, sigma_E/E=  helium 31 opt 1.5970075762406502
nucleus, energy[keV], readout, sigma_E/E=  helium 33 opt 1.4151255555406763
nucleus, energy[keV], readout, sigma_E/E=  helium 35 opt 1.4681361535966806
nucleus, energy[keV], readout, sigma_E/E=  helium 37 opt 1.384178660689441
nucleus, energy[keV], readout, sigma_E/E=  helium 39 opt 1.3048051680550183
nucleus, energy[keV], readout, sigma_E/E=  helium 41 opt 1.3129992733102063
nucleus, energy[keV], readout, sigma_E/E=  helium 43 opt 1.298208847224311
nucleus, energy[keV], readout, sigma_E/E=  helium 45 opt 1.2043253836194743
nucleus, energy[keV], readout, sigma_E/E=  helium 47 opt 1.1338877942083125
nucleus, energy[keV], readout, sigma_E/E=  helium 49 opt 1.1268170584634258
nucleus, energy[keV], readout, sigma_E/E=  fluorine 1 pix 0.501269467278431
nucleus, energy[keV], readout, sigma_E/E=  fluorine 3 pix 0.23689750589223216
nucleus, energy[keV], readout, sigma_E/E=  fluorine 5 pix 0.18219260406104065
nucleus, energy[keV], readout, sigma_E/E=  fluorine 7 pix 0.14965284345575017
nucleus, energy[keV], readout, sigma_E/E=  fluorine 9 pix 0.11610794682009942
nucleus, energy[keV], readout, sigma_E/E=  fluorine 11 pix 0.10637802982532672
nucleus, energy[keV], readout, sigma_E/E=  fluorine 13 pix 0.09476619185070752
nucleus, energy[keV], readout, sigma_E/E=  fluorine 15 pix 0.08807150299530009
nucleus, energy[keV], readout, sigma_E/E=  fluorine 17 pix 0.08188464701334038
nucleus, energy[keV], readout, sigma_E/E=  fluorine 19 pix 0.07497143644469756
nucleus, energy[keV], readout, sigma_E/E=  fluorine 21 pix 0.0760804953090595
nucleus, energy[keV], readout, sigma_E/E=  fluorine 23 pix 0.06489010260860632
nucleus, energy[keV], readout, sigma_E/E=  fluorine 25 pix 0.06053800722171344
nucleus, energy[keV], readout, sigma_E/E=  fluorine 27 pix 0.0600663428249202
nucleus, energy[keV], readout, sigma_E/E=  fluorine 29 pix 0.0634892080816183
nucleus, energy[keV], readout, sigma_E/E=  fluorine 31 pix 0.054298997061362556
nucleus, energy[keV], readout, sigma_E/E=  fluorine 33 pix 0.04967783716035177
nucleus, energy[keV], readout, sigma_E/E=  fluorine 35 pix 0.04639040543544417
nucleus, energy[keV], readout, sigma_E/E=  fluorine 37 pix 0.04633467993047124
nucleus, energy[keV], readout, sigma_E/E=  fluorine 39 pix 0.045881586553794866
nucleus, energy[keV], readout, sigma_E/E=  fluorine 41 pix 0.046219240107282865
nucleus, energy[keV], readout, sigma_E/E=  fluorine 43 pix 0.04153108777045552
nucleus, energy[keV], readout, sigma_E/E=  fluorine 45 pix 0.044253874844690955
nucleus, energy[keV], readout, sigma_E/E=  fluorine 47 pix 0.041044649015133244
nucleus, energy[keV], readout, sigma_E/E=  fluorine 49 pix 0.039495396630369405
nucleus, energy[keV], readout, sigma_E/E=  fluorine 1 pad 0.6146304581735728
nucleus, energy[keV], readout, sigma_E/E=  fluorine 3 pad 0.27509827081114935
nucleus, energy[keV], readout, sigma_E/E=  fluorine 5 pad 0.20064681104469806
nucleus, energy[keV], readout, sigma_E/E=  fluorine 7 pad 0.16332718083114775
nucleus, energy[keV], readout, sigma_E/E=  fluorine 9 pad 0.12727401850246262
nucleus, energy[keV], readout, sigma_E/E=  fluorine 11 pad 0.11297848420914292
nucleus, energy[keV], readout, sigma_E/E=  fluorine 13 pad 0.10127814801692551
nucleus, energy[keV], readout, sigma_E/E=  fluorine 15 pad 0.09275374693125286
nucleus, energy[keV], readout, sigma_E/E=  fluorine 17 pad 0.08448516160481487
nucleus, energy[keV], readout, sigma_E/E=  fluorine 19 pad 0.0779338705442483
nucleus, energy[keV], readout, sigma_E/E=  fluorine 21 pad 0.07878204415183156
nucleus, energy[keV], readout, sigma_E/E=  fluorine 23 pad 0.06791737400865296
nucleus, energy[keV], readout, sigma_E/E=  fluorine 25 pad 0.06263223305617521
nucleus, energy[keV], readout, sigma_E/E=  fluorine 27 pad 0.061609327734364554
nucleus, energy[keV], readout, sigma_E/E=  fluorine 29 pad 0.06447844535204515
nucleus, energy[keV], readout, sigma_E/E=  fluorine 31 pad 0.056412834662338984
nucleus, energy[keV], readout, sigma_E/E=  fluorine 33 pad 0.05130628625958057
nucleus, energy[keV], readout, sigma_E/E=  fluorine 35 pad 0.04686632489417834
nucleus, energy[keV], readout, sigma_E/E=  fluorine 37 pad 0.04726996994264392
nucleus, energy[keV], readout, sigma_E/E=  fluorine 39 pad 0.046935008489353114
nucleus, energy[keV], readout, sigma_E/E=  fluorine 41 pad 0.04651697264620997
nucleus, energy[keV], readout, sigma_E/E=  fluorine 43 pad 0.041670609342911946
nucleus, energy[keV], readout, sigma_E/E=  fluorine 45 pad 0.044410451810902016
nucleus, energy[keV], readout, sigma_E/E=  fluorine 47 pad 0.04210736932015716
nucleus, energy[keV], readout, sigma_E/E=  fluorine 49 pad 0.03996266370908575
nucleus, energy[keV], readout, sigma_E/E=  fluorine 1 wir 0.7248052191701501
nucleus, energy[keV], readout, sigma_E/E=  fluorine 3 wir 0.3099689861929918
nucleus, energy[keV], readout, sigma_E/E=  fluorine 5 wir 0.22054292278742
nucleus, energy[keV], readout, sigma_E/E=  fluorine 7 wir 0.1788888464254155
nucleus, energy[keV], readout, sigma_E/E=  fluorine 9 wir 0.13816473677229207
nucleus, energy[keV], readout, sigma_E/E=  fluorine 11 wir 0.12036728278615993
nucleus, energy[keV], readout, sigma_E/E=  fluorine 13 wir 0.10793809226986423
nucleus, energy[keV], readout, sigma_E/E=  fluorine 15 wir 0.0983235503607833
nucleus, energy[keV], readout, sigma_E/E=  fluorine 17 wir 0.0893626735401923
nucleus, energy[keV], readout, sigma_E/E=  fluorine 19 wir 0.08153663213931486
nucleus, energy[keV], readout, sigma_E/E=  fluorine 21 wir 0.0810060792518629
nucleus, energy[keV], readout, sigma_E/E=  fluorine 23 wir 0.07027997585108259
nucleus, energy[keV], readout, sigma_E/E=  fluorine 25 wir 0.06522478821250968
nucleus, energy[keV], readout, sigma_E/E=  fluorine 27 wir 0.06330550856588797
nucleus, energy[keV], readout, sigma_E/E=  fluorine 29 wir 0.06616933141155057
nucleus, energy[keV], readout, sigma_E/E=  fluorine 31 wir 0.05802263274607662
nucleus, energy[keV], readout, sigma_E/E=  fluorine 33 wir 0.05217729510051216
nucleus, energy[keV], readout, sigma_E/E=  fluorine 35 wir 0.048298747225319114
nucleus, energy[keV], readout, sigma_E/E=  fluorine 37 wir 0.04869523560260156
nucleus, energy[keV], readout, sigma_E/E=  fluorine 39 wir 0.047975133835180615
nucleus, energy[keV], readout, sigma_E/E=  fluorine 41 wir 0.04753107610368542
nucleus, energy[keV], readout, sigma_E/E=  fluorine 43 wir 0.04309516865328933
nucleus, energy[keV], readout, sigma_E/E=  fluorine 45 wir 0.04551486623626519
nucleus, energy[keV], readout, sigma_E/E=  fluorine 47 wir 0.04278906607741823
nucleus, energy[keV], readout, sigma_E/E=  fluorine 49 wir 0.040538642449257055
nucleus, energy[keV], readout, sigma_E/E=  fluorine 1 gem 4.542062838516567
nucleus, energy[keV], readout, sigma_E/E=  fluorine 3 gem 2.0025952259937574
nucleus, energy[keV], readout, sigma_E/E=  fluorine 5 gem 1.1980736245263328
nucleus, energy[keV], readout, sigma_E/E=  fluorine 7 gem 0.9827926460931198
nucleus, energy[keV], readout, sigma_E/E=  fluorine 9 gem 0.6965470758872935
nucleus, energy[keV], readout, sigma_E/E=  fluorine 11 gem 0.536656004663359
nucleus, energy[keV], readout, sigma_E/E=  fluorine 13 gem 0.4360082801486261
nucleus, energy[keV], readout, sigma_E/E=  fluorine 15 gem 0.4016153628689325
nucleus, energy[keV], readout, sigma_E/E=  fluorine 17 gem 0.3101540619142212
nucleus, energy[keV], readout, sigma_E/E=  fluorine 19 gem 0.26104160872222737
nucleus, energy[keV], readout, sigma_E/E=  fluorine 21 gem 0.23616196678491572
nucleus, energy[keV], readout, sigma_E/E=  fluorine 23 gem 0.20177542281731592
nucleus, energy[keV], readout, sigma_E/E=  fluorine 25 gem 0.19202117110926106
nucleus, energy[keV], readout, sigma_E/E=  fluorine 27 gem 0.17169341883224895
nucleus, energy[keV], readout, sigma_E/E=  fluorine 29 gem 0.1476039890047367
nucleus, energy[keV], readout, sigma_E/E=  fluorine 31 gem 0.14718660214732532
nucleus, energy[keV], readout, sigma_E/E=  fluorine 33 gem 0.13088969201159642
nucleus, energy[keV], readout, sigma_E/E=  fluorine 35 gem 0.1097649230428421
nucleus, energy[keV], readout, sigma_E/E=  fluorine 37 gem 0.11366432769961533
nucleus, energy[keV], readout, sigma_E/E=  fluorine 39 gem 0.10581166396781036
nucleus, energy[keV], readout, sigma_E/E=  fluorine 41 gem 0.0931172358560056
nucleus, energy[keV], readout, sigma_E/E=  fluorine 43 gem 0.0864542045787287
nucleus, energy[keV], readout, sigma_E/E=  fluorine 45 gem 0.0929727149052102
nucleus, energy[keV], readout, sigma_E/E=  fluorine 47 gem 0.08520079129964629
nucleus, energy[keV], readout, sigma_E/E=  fluorine 49 gem 0.0778639714551781
nucleus, energy[keV], readout, sigma_E/E=  fluorine 1 str 1.5477853986059065
nucleus, energy[keV], readout, sigma_E/E=  fluorine 3 str 0.7103078359514069
nucleus, energy[keV], readout, sigma_E/E=  fluorine 5 str 0.5234294906218007
